"entity_name","entity_id","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"Eovaldi, Nathan",543135,"R","94.3","93.8","64.6",,"83.1","79.6","40",,
"Pagán, Emilio",641941,"R","94.3",,"34.6",,"79.4",,,,
"Dollander, Chase",801403,"R","94.3","86","36.8","97.3",,"77.4",,,
"Jobe, Jackson",695549,"R","94.3","88.4",,"98.1",,"70.4","29.6",,
"Birdsong, Hayden",806185,"R","94.2",,,"88.8",,"67.2","34.5",,"32.5"
"Rodriguez, Bradgley",699134,"R","94.1","90.5","44.3","98.3",,,,,
"Lopez, Jacob",682052,"L","94.1","93.6","59","97.2",,,"50.2",,
"Seymour, Ian",693855,"L","94","93.1","53.8","97.5",,"86.8",,"29.3",
"Pearson, Nate",663878,"R","94",,,,,"71.1","36.1",,
"Lynch IV, Daniel",663738,"L","94","90.4",,"93.8",,"31.5","17",,
"Kopech, Michael",656629,"R","93.9",,"35.3",,,,,,
"Taillon, Jameson",592791,"R","93.9","92.6","49.3","86.8",,"71.6",,"53.4",
"Beeks, Jalen",656222,"L","93.9",,"19.6","91.8",,,,,
"Eder, Jake",671109,"L","93.9",,,"86.3",,,"35.6","37.5",
"Miller, Erik",669062,"L","93.9","96.2",,"99.5",,,"17",,
"Graceffo, Gordon",700669,"R","93.9","94.9",,"95.1",,"76.8","20.7",,
"Berríos, José",621244,"R","93.8","98.6","55.3","98.4",,,,,"55.7"
"Gillispie, Connor",687362,"R","93.8",,"36.5","83.8",,,,"56.1",
"Hoglund, Gunnar",680684,"R","93.8","94.9",,"85.3",,,"67.4","40.2",
"Kelly, Zack",677161,"R","93.7","94.8","56.5","94.7",,,,"56.9",
"Bowlan, Jonathan",680742,"R","93.7","93",,"69.6",,"65","25.4",,
"Gervase, Paul",801434,"R","93.6",,"58.2",,,,"39.9",,
"Cox, Austin",680735,"L","93.6",,"60.4",,"88","56.1","33.3",,
"Speier, Gabe",642100,"L","93.6","92.8",,,,,"33.9",,
"Lauer, Eric",641778,"L","93.6",,"38.6","96.9",,"69.7","27.3",,
"Hanifee, Brenan",669724,"R","93.6","92.6",,"96.2",,,"18.8",,
"Merryweather, Julian",657240,"R","93.5",,,,,,"22.6",,
"Palmquist, Carson",687223,"L","93.5",,"44.1","89.3",,,,"49.5",
"Canning, Griffin",656288,"R","93.5",,"39.2","85.9",,"50.3","28.5",,
"Miller, Bryce",682243,"R","93.4","90.2","64.5",,"68","69.1","26","62.4",
