"last_name, first_name","player_id","attempts","n_outs_above_average","n_oaa_slice_back_left","n_oaa_slice_back","n_oaa_slice_back_right","n_oaa_slice_back_all","n_oaa_slice_in_left","n_oaa_slice_in","n_oaa_slice_in_right","n_oaa_slice_in_all"
"Thomas, Lane",657041,"98","-2","-1","0","-1","-1","0","-1","1","0"
"Trout, Mike",545361,"54","-2","-1","1","0","0","-1","-2","0","-2"
"Fernández, Yanquiel",692585,"51","-2","0","0","0","0","0","0","-1","-1"
"Barger, Addison",680718,"144","-2","1","1","-4","-2","0","1","-1","0"
"Tucker, Kyle",663656,"289","-2","-1","0","1","-1","-1","0","0","-1"
"McNeil, Jeff",643446,"88","-2","-1","0","0","0","-1","-2","1","-2"
"Kayfus, C.J.",692216,"52","-2","-1","-1","0","-2","-1","0","1","-1"
"Canario, Alexander",672744,"165","-2","0","-1","0","0","0","0","-1","-1"
"Pham, Tommy",502054,"237","-3","-2","1","-2","-4","0","0","1","1"
"India, Jonathan",663697,"39","-3","-1","-1","0","-3","0","0","-1","-1"
"Brown, Seth",664913,"39","-3","0","-2","0","-2","0","0","-1","-1"
"Frazier, Adam",624428,"79","-3","-2","-1","-1","-3","1","-1","0","0"
"Moore, Dylan",664238,"42","-3","-1","0","-1","-2","0","0","-1","-1"
"Palacios, Richie",680700,"12","-3","0","-1","0","-1","-2","0","0","-2"
"Yastrzemski, Mike",573262,"266","-3","-1","-2","0","-4","1","-1","1","1"
"Rooker, Brent",667670,"56","-3","0","0","0","0","-2","-2","0","-3"
"Steer, Spencer",668715,"20","-3","-1","0","0","-1","-1","0","-1","-2"
"Andujar, Miguel",609280,"56","-3","-1","0","0","-2","0","1","-2","-2"
"Carpenter, Kerry",681481,"165","-3","-3","0","0","-2","0","0","0","0"
"Gurriel Jr., Lourdes",666971,"242","-3","0","-1","0","-1","1","0","-3","-2"
"Yelich, Christian",592885,"48","-3","0","0","0","0","-1","-2","0","-3"
