"entity_id","entity_name","entity_code","team_id","total_pitches","total_pitches","total_pitches_empty","median_seconds_empty","total_pitches_onbase","median_seconds_empty","freq_hot","freq_warm","freq_cold"
682829,"De La Cruz, Elly","Bat",113,1192,1192,707,16.051,485,16.051,0.2181208053691275,0.7785234899328859,0.003355704697986577
683002,"Henderson, Gunnar","Bat",110,1099,1099,704,16.053,395,16.053,0.25113739763421294,0.7443130118289354,0.004549590536851683
676439,"Feduccia, Hunter","Bat",139,219,219,122,16.061,97,16.061,0.2146118721461187,0.7853881278538812,0
700242,"Sweeney, Trey","Bat",116,478,478,278,16.061,200,16.061,0.2489539748953975,0.7468619246861925,0.0041841004184100415
663968,"Mangum, Jake","Bat",139,435,435,303,16.064,132,16.064,0.22528735632183908,0.7724137931034483,0.0022988505747126436
665750,"Taveras, Leody","Bat",136,281,281,183,16.066,98,16.066,0.2526690391459075,0.7366548042704626,0.010676156583629894
641355,"Bellinger, Cody","Bat",147,1100,1100,594,16.066,506,16.066,0.22454545454545455,0.7709090909090909,0.004545454545454545
695238,"Wagner, Will","Bat",135,276,276,158,16.07,118,16.07,0.213768115942029,0.782608695652174,0.0036231884057971015
650859,"Rengifo, Luis","Bat",108,813,813,551,16.07,262,16.07,0.25338253382533826,0.7343173431734318,0.012300123001230012
689200,"Melton, Jacob","Bat",117,138,138,81,16.072,57,16.072,0.2246376811594203,0.7753623188405797,0
643289,"Dubón, Mauricio","Bat",117,508,508,315,16.075,193,16.075,0.2125984251968504,0.7834645669291339,0.003937007874015748
693307,"Dingler, Dillon","Bat",116,769,769,424,16.08,345,16.08,0.19635890767230169,0.7984395318595578,0.005201560468140442
683737,"Busch, Michael","Bat",112,946,946,662,16.084,284,16.084,0.2632135306553911,0.7346723044397463,0.0021141649048625794
643376,"Jansen, Danny","Bat",158,623,623,370,16.086,253,16.086,0.19743178170144463,0.8025682182985554,0
666176,"Adell, Jo","Bat",108,837,837,501,16.09,336,16.09,0.2031063321385902,0.7921146953405018,0.0047789725209080045
666152,"Hamilton, David","Bat",111,337,337,191,16.097,146,16.097,0.2166172106824926,0.7744807121661721,0.008902077151335312
666971,"Gurriel Jr., Lourdes","Bat",109,767,767,447,16.099,320,16.099,0.18513689700130379,0.7979139504563233,0.01694915254237288
678894,"Peguero, Liover","Bat",134,163,163,93,16.104,70,16.104,0.2147239263803681,0.7852760736196319,0
677347,"Paris, Kyren","Bat",108,228,228,152,16.105,76,16.105,0.17543859649122806,0.8157894736842105,0.008771929824561403
691728,"Veen, Zac","Bat",115,44,44,28,16.108,16,16.108,0.20454545454545456,0.7954545454545454,0
656484,"Gray, Tristan","Bat",139,111,111,73,16.109,38,16.109,0.1891891891891892,0.7927927927927928,0.018018018018018018
607043,"Nimmo, Brandon","Bat",121,1169,1169,747,16.111,422,16.111,0.21385799828913601,0.7792985457656116,0.006843455945252352
660844,"Rivas, Leo","Bat",136,267,267,136,16.112,131,16.112,0.18726591760299627,0.8052434456928839,0.00749063670411985
608324,"Bregman, Alex","Bat",111,962,962,561,16.116,401,16.116,0.23076923076923078,0.7681912681912682,0.0010395010395010396
665833,"Cruz, Oneil","Bat",134,1077,1077,696,16.117,381,16.117,0.24512534818941503,0.7511606313834726,0.003714020427112349
666163,"Rortvedt, Ben","Bat",119,217,217,132,16.12,85,16.12,0.2119815668202765,0.7741935483870968,0.013824884792626729
691176,"Domínguez, Jasson","Bat",147,683,683,437,16.12,246,16.12,0.26500732064421667,0.7320644216691069,0.0029282576866764276
621020,"Swanson, Dansby","Bat",112,994,994,645,16.125,349,16.125,0.21227364185110664,0.7766599597585513,0.011066398390342052
605204,"Davis, J.D.","Bat",108,11,11,9,16.127,2,16.127,0.2727272727272727,0.7272727272727273,0
670042,"Raley, Luke","Bat",136,304,304,180,16.127,124,16.127,0.25,0.75,0
670242,"Wallner, Matt","Bat",142,589,589,392,16.131,197,16.131,0.25127334465195245,0.7436332767402377,0.0050933786078098476
670764,"Walls, Taylor","Bat",139,568,568,372,16.133,196,16.133,0.272887323943662,0.7235915492957746,0.0035211267605633804
664702,"Straw, Myles","Bat",141,513,513,296,16.136,217,16.136,0.2202729044834308,0.7758284600389863,0.003898635477582846
691016,"Soderstrom, Tyler","Bat",133,935,935,552,16.145,383,16.145,0.2374331550802139,0.758288770053476,0.0042780748663101605
673548,"Suzuki, Seiya","Bat",112,1356,1356,799,16.147,557,16.147,0.221976401179941,0.7706489675516224,0.007374631268436578
678391,"Vivas, Jorbit","Bat",147,102,102,64,16.147,38,16.147,0.19607843137254902,0.803921568627451,0
702616,"Holliday, Jackson","Bat",110,1053,1053,757,16.149,296,16.149,0.2526115859449193,0.7426400759734093,0.004748338081671415
671083,"Kennedy, Buddy","Bat",119,58,58,33,16.153,25,16.153,0.20689655172413793,0.7931034482758621,0
700246,"Williams, Carson","Bat",139,167,167,115,16.153,52,16.153,0.25149700598802394,0.7485029940119761,0
642180,"Wade, Tyler","Bat",135,234,234,143,16.155,91,16.155,0.23931623931623933,0.7564102564102564,0.004273504273504274
681481,"Carpenter, Kerry","Bat",116,655,655,425,16.157,230,16.157,0.21374045801526717,0.7801526717557252,0.0061068702290076335
692225,"Campbell, Kristian","Bat",111,490,490,273,16.161,217,16.161,0.22653061224489796,0.7653061224489796,0.00816326530612245
623168,"Heineman, Tyler","Bat",141,234,234,153,16.17,81,16.17,0.24358974358974358,0.7435897435897436,0.01282051282051282
701358,"Smith, Cam","Bat",117,851,851,528,16.171,323,16.171,0.21974148061104584,0.7720329024676851,0.008225616921269096
664761,"Bohm, Alec","Bat",143,809,809,501,16.176,308,16.176,0.20024721878862795,0.7935723114956736,0.006180469715698393
609280,"Andujar, Miguel","Bat",113,482,482,302,16.181,180,16.181,0.2033195020746888,0.7946058091286307,0.002074688796680498
681715,"Hernández, Heriberto","Bat",146,490,490,277,16.181,213,16.181,0.19183673469387755,0.8020408163265306,0.006122448979591836
669236,"Jackson, Jeremiah","Bat",110,285,285,177,16.195,108,16.195,0.23157894736842105,0.7649122807017544,0.0035087719298245615
660821,"Sánchez, Jesús","Bat",117,774,774,469,16.196,305,16.196,0.20671834625322996,0.7842377260981912,0.00904392764857881
680577,"Keirsey Jr., DaShawn","Bat",142,145,145,75,16.199,70,16.199,0.25517241379310346,0.7448275862068966,0
807712,"Keaschall, Luke","Bat",142,346,346,204,16.202,142,16.202,0.17341040462427745,0.8208092485549133,0.005780346820809248
669722,"Davidson, Logan","Bat",108,79,79,51,16.207,28,16.207,0.27848101265822783,0.7215189873417721,0
691723,"Mayo, Coby","Bat",110,483,483,303,16.209,180,16.209,0.19047619047619047,0.8053830227743272,0.004140786749482402
518934,"LeMahieu, DJ","Bat",147,249,249,150,16.211,99,16.211,0.1606425702811245,0.8273092369477911,0.012048192771084338
667670,"Rooker, Brent","Bat",133,1077,1077,636,16.216,441,16.216,0.20984215413184773,0.7855153203342619,0.004642525533890436
656248,"Bouchard, Sean","Bat",115,131,131,79,16.221,52,16.221,0.24427480916030533,0.7404580152671756,0.015267175572519083
805904,"Cole, Zach","Bat",117,101,101,63,16.223,38,16.223,0.21782178217821782,0.7821782178217822,0
500743,"Rojas, Miguel","Bat",119,528,528,328,16.225,200,16.225,0.21022727272727273,0.7859848484848485,0.003787878787878788
467793,"Santana, Carlos","Bat",112,897,897,559,16.231,338,16.231,0.2229654403567447,0.7736900780379041,0.0033444816053511705
641857,"McMahon, Ryan","Bat",147,1092,1092,684,16.232,408,16.232,0.21520146520146521,0.782051282051282,0.0027472527472527475
666150,"Fletcher, Dominic","Bat",145,55,55,49,16.233,6,16.233,0.3090909090909091,0.6909090909090909,0
605131,"Barnes, Austin","Bat",119,83,83,57,16.234,26,16.234,0.24096385542168675,0.7349397590361446,0.024096385542168676
668804,"Reynolds, Bryan","Bat",134,1044,1044,636,16.24,408,16.24,0.19827586206896552,0.7969348659003831,0.004789272030651341
640492,"Azocar, José","Bat",144,27,27,21,16.249,6,16.249,0.25925925925925924,0.7407407407407407,0
592192,"Canha, Mark","Bat",118,231,231,139,16.258,92,16.258,0.19047619047619047,0.7965367965367965,0.012987012987012988
665828,"Cabrera, Oswaldo","Bat",147,185,185,101,16.261,84,16.261,0.17297297297297298,0.8216216216216217,0.005405405405405406
694671,"Langford, Wyatt","Bat",140,1077,1077,767,16.269,310,16.269,0.23676880222841226,0.7595171773444754,0.003714020427112349
669364,"Edwards, Xavier","Bat",146,932,932,636,16.272,296,16.272,0.21244635193133046,0.7832618025751072,0.004291845493562232
621439,"Buxton, Byron","Bat",142,830,830,617,16.276,213,16.276,0.23132530120481928,0.7602409638554217,0.008433734939759036
621043,"Correa, Carlos","Bat",117,1015,1015,593,16.278,422,16.278,0.1921182266009852,0.8,0.007881773399014778
641555,"Escarra, J.C.","Bat",147,187,187,116,16.279,71,16.279,0.2192513368983957,0.7807486631016043,0
666018,"Aranda, Jonathan","Bat",139,684,684,434,16.281,250,16.281,0.2222222222222222,0.77046783625731,0.007309941520467836
547180,"Harper, Bryce","Bat",143,789,789,468,16.282,321,16.282,0.18250950570342206,0.8149556400506971,0.0025348542458808617
678011,"Seigler, Anthony","Bat",158,122,122,68,16.283,54,16.283,0.18032786885245902,0.7950819672131147,0.02459016393442623
592626,"Pederson, Joc","Bat",140,571,571,347,16.285,224,16.285,0.20490367775831875,0.7915936952714536,0.0035026269702276708
694359,"Kavadas, Niko","Bat",108,61,61,49,16.292,12,16.292,0.21311475409836064,0.7868852459016393,0
665862,"Chisholm Jr., Jazz","Bat",147,899,899,562,16.295,337,16.295,0.22135706340378197,0.7719688542825361,0.006674082313681869
666139,"Lowe, Josh","Bat",139,724,724,498,16.296,226,16.296,0.2513812154696133,0.7486187845303868,0
681297,"Cowser, Colton","Bat",110,720,720,485,16.303,235,16.303,0.2,0.7888888888888889,0.011111111111111112
663662,"Cameron, Daz","Bat",158,65,65,47,16.304,18,16.304,0.27692307692307694,0.7230769230769231,0
605170,"Caratini, Victor","Bat",117,527,527,314,16.305,213,16.305,0.20113851992409867,0.7855787476280834,0.013282732447817837
666211,"Trammell, Taylor","Bat",117,230,230,162,16.31,68,16.31,0.2391304347826087,0.7608695652173914,0
571466,"Barnhart, Tucker","Bat",140,23,23,11,16.31,12,16.31,0.2608695652173913,0.6956521739130435,0.043478260869565216
650559,"De La Cruz, Bryan","Bat",144,72,72,47,16.313,25,16.313,0.2361111111111111,0.7638888888888888,0
656896,"Rivera, Emmanuel","Bat",110,200,200,124,16.313,76,16.313,0.185,0.8,0.015
666624,"Morel, Christopher","Bat",139,425,425,273,16.315,152,16.315,0.2376470588235294,0.76,0.002352941176470588
642086,"Smith, Dominic","Bat",137,337,337,218,16.318,119,16.318,0.26409495548961426,0.7359050445103857,0
571771,"Hernández, Enrique","Bat",119,428,428,254,16.32,174,16.32,0.205607476635514,0.7873831775700935,0.007009345794392523
686894,"Wiemer, Joey","Bat",146,67,67,27,16.322,40,16.322,0.16417910447761194,0.835820895522388,0
672275,"Bailey, Patrick","Bat",137,724,724,415,16.326,309,16.326,0.17679558011049723,0.8121546961325967,0.011049723756906077
