"name","id","total_runs","inf_of_runs","range_runs","arm_runs","dp_runs","catching_runs","framing_runs","throwing_runs","blocking_runs","outs_total","outs_2","outs_3","outs_4","outs_5","outs_6","outs_7","outs_8","outs_9"
"Blanco, Dairon",680118,0.06594070991743074,0.06594070991743074,0.09309828790531438,-0.02715757798788363,,,,,,81,0,0,0,0,0,33,48,0
"Haase, Eric",606992,0.06427024293141886,,,,,0.06427024293141886,-0.5389906753627657,0.16494112119790577,0.4383197970962784,531,531,0,0,0,0,0,0,0
"Garcia, Jhostynxon",691373,0.06407852728419564,0.06407852728419564,0.016200000000000013,0.04787852728419563,,,,,,75,0,0,0,0,0,30,0,45
"Whitcomb, Shay",694376,0.0598983109786064,0.0598983109786064,0.004632330767874698,-0.001209293103487385,0.05647527331421906,,,,,186,0,0,105,75,0,6,0,0
"Salazar, César",663967,0.05797789081071349,,,,,0.05797789081071349,0.26768048468298666,-0.22625084218903552,0.016548248316762163,105,102,0,0,0,0,0,0,0
"Rogers, Jake",668670,0.05523639671870169,,,,,0.05523639671870169,0.7376930463131022,-0.6430120212872512,-0.03944462830715113,1028,1017,0,0,0,0,0,0,0
"Sullivan, Brett",664954,0.04946327050806702,,,,,0.04946327050806702,-0.41258262461387596,0.3768971443604238,0.08514875076151912,69,69,0,0,0,0,0,0,0
"León, Sandy",506702,0.04411184560653901,,,,,0.04411184560653901,0.36518771423732305,-0.2372797921156705,-0.08379607651511359,87,87,0,0,0,0,0,0,0
"Peguero, Liover",678894,0.03334672176689407,0.03334672176689407,-0.4691725692983231,0.08746791767831036,0.4150513733869069,,,,,602,0,164,132,0,306,0,0,0
"Acuña, Luisangel",682668,0.0331828415972068,0.0331828415972068,0.3930071122808323,-0.16348751176196252,-0.19633675892166427,,,,,1453,0,0,1303,33,108,0,9,0
"Porter, Logan",682515,0.03315545459569045,,,,,0.03315545459569045,-0.1652659097102983,,0.19842136430598895,68,65,0,0,0,0,0,0,0
"Wynns, Austin",642851,0.026497117198197365,0.07849687144888617,0.07849687144888617,,,-0.05199975425068881,-0.5820244891982044,0.3670857184895245,0.16293901645799075,778,760,18,0,0,0,0,0,0
"Tucker, Kyle",663656,0.025850713465678157,0.025850713465678157,-2.074582356194664,2.1004330696603404,,,,,,3005,0,0,0,0,0,0,0,3005
"Vázquez, Luis",676679,0.022491116020664892,0.022491116020664892,-0.10996862294841894,,0.13245973896908378,,,,,418,0,3,81,150,171,0,0,0
"Espinal, Santiago",669289,0.016453865569782733,0.016453865569782733,1.1396331387265777,-0.31037125168978363,-0.8128080214670118,,,,,2152,0,48,381,1462,18,126,0,117
"Jones, Greg",675659,0.015693924075355324,0.015693924075355324,0.015693924075355324,,,,,,,6,0,0,0,0,0,0,0,6
"Noda, Ryan",676116,0.007228598478286344,0.007228598478286344,-0.22694045866451706,0.0863702492749708,0.14779880786783245,,,,,330,0,225,0,0,0,0,0,105
"Corona, Kenedy",685744,0.005400000000000005,0.005400000000000005,0.005400000000000005,,,,,,,36,0,0,0,0,0,0,36,0
"Hummel, Cooper",669450,0.0026220167768168084,0.0026220167768168084,-1.0144138434033971,1.0170358601802136,,,,,,565,0,0,0,0,0,556,0,6
"Thomas, Rhylan",689041,-0.002044377367129201,-0.002044377367129201,0.47577979398196657,-0.4778241713490957,,,,,,66,0,0,0,0,0,9,0,57
"Loftin, Nick",679845,-0.004566704800368596,-0.004566704800368596,1.466302032177751,-0.556593331648004,-0.9142754053301156,,,,,1206,0,47,274,261,0,624,0,0
"Robinson, Chuckie",642020,-0.009657088865358683,,,,,-0.009657088865358683,-0.030023623027674303,,0.020366534162315614,21,21,0,0,0,0,0,0,0
"Ornelas, Tirso",672359,-0.012206150113432793,-0.012206150113432793,0.07134065172150249,-0.08354680183493529,,,,,,99,0,0,0,0,0,93,6,0
"Ballesteros, Moisés",694208,-0.019335655839278303,,,,,-0.019335655839278303,0.08755001462819496,-0.13418864564444283,0.027302975176969526,30,18,12,0,0,0,0,0,0
"Young, Jared",676724,-0.02652501792940658,-0.02652501792940658,0.013906914936394722,-0.0404319328658013,,,,,,16,0,6,0,0,0,9,0,0
"Eldridge, Bryce",805811,-0.03032846059319602,-0.03032846059319602,0.008599576910293033,,-0.03892803750348906,,,,,102,0,102,0,0,0,0,0,0
"Cole, Zach",805904,-0.032789446948947906,-0.032789446948947906,-0.6627556464932709,0.6299661995443229,,,,,,348,0,0,0,0,0,132,75,141
"Rivas, Leo",660844,-0.038536457164580235,-0.038536457164580235,-0.4420606183482102,0.0918079324061692,0.31171622877746064,,,,,754,0,0,594,12,117,1,0,27
