"id","name","side","avg_bat_speed","swing_tilt","attack_angle","attack_direction","ideal_attack_angle_rate","avg_intercept_y_vs_plate","avg_intercept_y_vs_batter","avg_batter_y_position","avg_batter_x_position","competitive_swings"
680837,"Fitzgerald, Ryan","L","69.944267067",30.676049820398376,15.35632663107508,-5.597159884609084,0.6266666666666667,-1.7867393711317814,28.846291718125077,30.633031089256857,28.536919464874263,75
678009,"Meadows, Parker","L","69.923306535",30.166321361923533,7.67011526019162,-3.566522642545185,0.4711246200607903,6.718948799291305,34.08896491264323,27.370016113351927,29.351784285789247,329
656413,"Fairchild, Stuart","R","69.8888",37.27365345970889,13.544065449750951,-2.7398722069611505,0.5952380952380953,-0.3441292701238319,31.018989697271337,31.36311896739517,22.69628681549038,84
683766,"Koss, Christian","R","69.879297815",28.222044262031186,8.950924670148629,5.035566248573482,0.5761589403973509,-1.5324796403499388,25.54225403490407,27.074733675254006,29.457770593986165,302
670770,"Friedl, TJ","L","69.877426898",28.296310381291125,9.359718645122463,-7.846269278770938,0.5957446808510639,8.087572907760082,40.37208063778141,32.28450773002134,24.360896374450057,893
671083,"Kennedy, Buddy","R","69.868341458",35.31652904462691,6.872810243703142,-11.466319194979132,0.375,3.6317936227698118,32.93199937224338,29.30020574947357,24.68654655483067,48
518692,"Freeman, Freddie","L","69.860023438",43.081544548106336,10.698467701083027,0.9547901675835546,0.46359447004608295,-2.1545365148831026,26.993048239701768,29.14758475458487,30.383468414367698,1085
542963,"Brantly, Rob","L","69.8545425",34.55752794767122,11.770424632685453,-6.188285192677726,0.25,-0.8847636750430686,28.19988591765574,29.084649592698813,26.765932044577596,12
621035,"Taylor, Chris","R","69.848293692",37.451531594915934,12.575584286434962,-1.8442873863773288,0.4906542056074766,2.0354638527905955,34.26845261892993,32.23298876613932,31.772170371954417,214
695336,"Saggese, Thomas","R","69.837540503",37.855408412278635,7.7587057376728445,5.5147546077334555,0.4061895551257253,4.878448527474575,27.22255980032635,22.344111272851777,26.44279363217248,517
669257,"Smith, Will","R","69.791438858",34.00084354940851,11.756574931922552,0.8314320153782093,0.625,-1.656458662853851,31.262133997309892,32.91859266016374,28.9858810039103,648
